Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B150608,3/24/15,5/14/15,25000,FALSE,TRUE,3,2900 Block of Pacheco Street,94116,4,Sunset/Parkside,"(37.74976939429968, -122.49174457936047)"
B150702,4/1/15,7/16/15,34500,FALSE,TRUE,4,0 Block of Lippard Avenue,94131,8,Glen Park,"(37.734322866471985, -122.43562814252309)"
B150708,4/2/15,8/21/15,134500,FALSE,TRUE,4,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)"
B150709,4/2/15,8/21/15,89500,FALSE,TRUE,1,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)"
B150710,4/2/15,8/18/15,94500,FALSE,TRUE,2,2500 Block of Gough Street,94123,2,Marina,"(37.79672751502928, -122.42705480810254)"
B150843,4/15/15,6/29/15,15000,FALSE,TRUE,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.76625767774476, -122.43336268256967)"
B151044,4/29/15,6/8/16,22212.8,FALSE,TRUE,2,200 Block of Chestnut Street,94133,3,North Beach,"(37.80441024558558, -122.4075351837816)"
B150588,3/12/15,5/8/15,32000,FALSE,FALSE,4,1300 Block of Shotwell Street,94110,9,Bernal Heights,"(37.74778387215304, -122.41494548864773)"
B150590,3/16/15,3/18/15,6000,FALSE,FALSE,2,600 Block of Broderick Street,94117,5,Hayes Valley,"(37.77617011228797, -122.4398186971179)"
B170756,2/27/17,4/19/18,15715.06,FALSE,FALSE,1,1900 Block of San Jose Avenue,94112,11,Outer Mission,"(37.725359913520364, -122.4426690879814)"
B171407,6/1/17,9/19/17,27000,FALSE,FALSE,1,2500 Block of Sacramento Street,94115,2,Pacific Heights,"(37.78978736224043, -122.43486105377728)"
B171785,7/12/17,12/5/17,46000,FALSE,FALSE,1,1300 Block of Utah Street,94110,10,Mission,"(37.752421188414196, -122.40533837831623)"
B172532,,10/5/17,17000,FALSE,FALSE,2,2800 Block of Fulton Street,94118,1,Inner Richmond,"(37.773881736770875, -122.46216273770965)"
B172533,10/6/17,10/6/17,20000,FALSE,FALSE,3,1400 Block of Baker Street,94115,5,Presidio Heights,"(37.78435307260086, -122.4431541086368)"
B173150,,9/25/17,24278.06,FALSE,FALSE,2,700 Block of Foerster Street,94127,7,West of Twin Peaks,"(37.73404478728647, -122.44881649035666)"
B180916,,3/23/18,20833.33,FALSE,FALSE,2,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)"
B151754,7/13/15,9/15/15,19650,FALSE,FALSE,2,2000 Block of 18th Avenue,94116,7,Inner Sunset,"(37.749621666391675, -122.47515081690084)"
B151755,,7/15/15,12500,FALSE,FALSE,2,1500 Block of Sacramento Street,94109,3,Nob Hill,"(37.79175927538888, -122.4183905004495)"
B151759,7/13/15,9/10/15,33000,FALSE,FALSE,5,3700 Block of San Bruno Avenue,94134,10,Visitacion Valley,"(37.71489138279832, -122.39979066615768)"
B151760,,7/13/15,36205,FALSE,FALSE,4,200 Block of Winfield Street,94110,9,Bernal Heights,"(37.74163357956177, -122.41912899616955)"
B151789,7/14/15,11/30/15,80000,FALSE,TRUE,4,3500 Block of 24th Street,94110,8,Mission,"(37.752063998834316, -122.42224208187952)"
B151889,7/15/15,1/13/17,40175.63,FALSE,FALSE,2,1800 Block of 15th Street,94103,8,Mission,"(37.76643206805281, -122.42473437672952)"
B151891,7/15/15,10/19/15,42000,FALSE,FALSE,3,1200 Block of 22nd Avenue,94122,4,Sunset/Parkside,"(37.76436014145552, -122.48047205453335)"
B151895,,7/16/15,25874,FALSE,TRUE,4,1500 Block of Baker Street,94115,2,Presidio Heights,"(37.785283958956015, -122.44334475586244)"
B151896,,7/16/15,75329,FALSE,TRUE,1,200 Block of San Carlos Street,94110,9,Mission,"(37.75938329305787, -122.41997716515007)"
B151897,7/16/15,7/28/15,150000,FALSE,FALSE,2,0 Block of Cumberland Street,94110,8,Mission,"(37.759042049984146, -122.4247229313483)"
B151902,7/17/15,2/5/16,50361.14,FALSE,FALSE,2,300 Block of Capp Street,94110,9,Mission,"(37.761097151561124, -122.41826370590525)"
B151903,7/20/15,9/8/15,1750,FALSE,FALSE,1,100 Block of Rolph Street,94112,11,Excelsior,"(37.71444036223623, -122.43876689277697)"
B151904,7/21/15,9/23/15,27517,FALSE,FALSE,3,2700 Block of Diamond Street,94131,8,Glen Park,"(37.73478615266622, -122.4338504823844)"
B151905,,7/21/15,11500,FALSE,FALSE,1,400 Block of Warren Drive,94131,7,Inner Sunset,"(37.75797638858377, -122.46201174677903)"
B151906,7/21/15,9/24/15,7500,FALSE,TRUE,1,3600 Block of 19th Street,94110,8,Mission,"(37.759806799846345, -122.42538649752721)"
B151907,7/21/15,11/20/15,45068.8,FALSE,FALSE,2,100 Block of 26th Avenue,94121,2,Seacliff,"(37.78663300121139, -122.4862122761523)"
B151911,7/24/15,10/16/15,20000,FALSE,FALSE,1,1600 Block of Beach Street,94123,2,Marina,"(37.80458525945776, -122.43625655309144)"
B151965,7/24/15,7/24/15,2000,FALSE,FALSE,2,0 Block of Emery Lane,94133,3,Chinatown,"(37.79871399523795, -122.40961833112769)"
B151967,7/24/15,10/14/15,29500,FALSE,FALSE,2,200 Block of Diamond Street,94114,8,Castro/Upper Market,"(37.758352949646834, -122.43703143877215)"
B151968,7/24/15,10/28/15,48000,FALSE,FALSE,2,1300 Block of 12th Avenue,94122,5,Inner Sunset,"(37.76296198345771, -122.46952597496633)"
B151971,7/27/15,9/24/15,5657.5,FALSE,FALSE,2,2900 Block of Washington Street,94115,2,Pacific Heights,"(37.79059324910472, -122.44180823284329)"
B151974,,7/27/15,30000,FALSE,FALSE,2,0 Block of Eagle Street,94114,8,Castro/Upper Market,"(37.75826554094594, -122.44289752997673)"
B151979,7/29/15,7/29/15,2300,FALSE,FALSE,1,600 Block of Thornton Avenue,94124,10,Bayview Hunters Point,"(37.731420544259564, -122.40073402621869)"
B151981,7/29/15,8/19/15,5000,FALSE,TRUE,1,3200 Block of Market Street,94114,8,Castro/Upper Market,"(37.75857564451663, -122.44474067311377)"
B151982,,7/29/15,30000,FALSE,TRUE,2,900 Block of Ashbury Street,94117,8,Haight Ashbury,"(37.764691603087904, -122.44579025094643)"
