,title,rental price,bedrooms,bathrooms,Area (SF),"latitude,longitude",cats are OK - purrr,dogs are OK - wooof,w/d in unit,wd in unit,laundry in bldg,laundry on site,attached garage,detached garage,carport,furnished,no smoking,wheelchair accessible,lat.,long.,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
821,1/2 Block From GG Park| Remodeled 3BR/2BA W/ Private Deck| WD In Unit!,4995,3,2.0,,"(37.773854, -122.477838)",0,0,0,1,0,0,1,0,0,0,1,0,37.773854,-122.47783799999999,1.0,rooftop,747.0,19th Ave,San Francisco,CA,San Francisco County,94121.0
822,Set Sail for Marina Green 1BR + Den. $95 Deposit IQ.  3820SCOTT #203.,4795,2,1.0,,"(37.804917, -122.442132)",1,1,0,1,0,0,0,0,0,0,1,0,37.804916999999996,-122.442132,1.0,rooftop,3824.0,Scott St,San Francisco,CA,San Francisco County,94123.0
823,Marina Penthouse.  Palace VIEWS.  Peak Inside. $95Dep. 3560DIVISADERO.,7495,3,3.0,,"(37.802411, -122.44334)",1,1,0,1,0,0,0,0,0,0,1,0,37.802411,-122.44333999999999,1.0,rooftop,3544.0,Divisadero St,San Francisco,CA,San Francisco County,94123.0
824,Avail now! Bright & Roomy.HwdFlr. Ideal Loc! Walkscre 97. 23rd & Geary,2900,2,1.0,1100.0,"(37.779753, -122.482657)",0,0,0,0,0,0,0,0,0,0,1,0,37.779753,-122.482657,1.0,rooftop,415.0,23rd Ave,San Francisco,CA,San Francisco County,94121.0
825,Need a house or apt we can hep you pay after its fixed,1400,2,2.0,1100.0,"(37.7864, -122.3892)",0,0,0,0,0,0,0,0,0,0,0,0,37.7864,-122.3892,1.0,rooftop,501.0,Beale St,San Francisco,CA,San Francisco County,94105.0
826,Newly Remodeled 950 sq ft 2 bd 1 bath,3600,2,1.0,950.0,"(37.77836, -122.48031)",0,0,0,0,1,0,0,0,0,0,1,0,37.77836,-122.48031,1.0,nearest_street,500.0,21st Ave,San Francisco,CA,San Francisco County,94121.0
827,The home is completed with in-unit laundry and an extra-large parking,3500,2,2.0,,"(37.763087, -122.398519)",0,0,0,0,0,0,0,0,0,0,0,0,37.763087,-122.398519,1.0,rooftop,251.0,Arkansas St,San Francisco,CA,San Francisco County,94107.0
828,Furnished 2 BR next to Museum of Art & Design by blueground(6),4990,2,2.0,892.0,"(37.755889, -122.389058)",1,1,0,1,0,0,1,0,0,1,1,0,37.755889,-122.389058,1.0,rooftop,2688.0,3rd St,San Francisco,CA,San Francisco County,94107.0
830,"2 Bed/1 Bath, Top Floor, HW, DW free Parking 333333333333333333333333",4195,2,1.0,,"(37.7856, -122.4358)",0,0,0,0,1,0,1,0,0,0,1,0,37.7856,-122.4358,1.0,rooftop,2161.0,Sutter St,San Francisco,CA,San Francisco County,94115.0
832,"2 Bedroom/2 Bath Condo close to FiDi, TransBay, & AT&T Park",4400,2,2.0,1065.0,"(37.786106, -122.393908)",0,0,0,1,0,0,0,0,0,0,1,0,37.786106,-122.39390800000001,1.0,rooftop,50.0,Lansing St,San Francisco,CA,San Francisco County,94105.0
834,"Furnished, Upscale & Quiet 3/1 Apt. in Russian Hill",5100,3,1.0,1250.0,"(37.797287, -122.415291)",0,0,0,0,0,0,0,0,0,1,1,0,37.797287,-122.415291,1.0,nearest_street,1.0,Glover St,San Francisco,CA,San Francisco County,94109.0
835,"3BR, 2BA Newly Remodeled, Inner Sunset",4400,3,2.0,1000.0,"(37.761747, -122.475924)",0,0,0,0,1,0,0,0,0,0,1,0,37.761747,-122.47592399999999,1.0,nearest_street,1300.0,Judah St,San Francisco,CA,San Francisco County,94122.0
836,"2BR, Newly Remodeled in Inner Sunset",2600,2,1.0,500.0,"(37.761747, -122.475924)",0,0,0,0,1,0,0,0,0,0,1,0,37.761747,-122.47592399999999,1.0,nearest_street,1300.0,Judah St,San Francisco,CA,San Francisco County,94122.0
837,新獨2睡浴PRIVATE 2 BD.1BA. close to all conveniences,2488,2,1.0,,"(37.719, -122.4096)",0,0,0,0,0,0,0,0,0,0,1,0,37.719,-122.4096,1.0,rooftop,893.0,Colby St,San Francisco,CA,San Francisco County,94134.0
838,"獨2房PRIVATE 2 RM.$1094 EACH next to SFSU, CCSF & BART",2188,2,1.0,,"(37.7195, -122.4411)",0,0,0,0,0,0,0,0,0,0,1,0,37.7195,-122.4411,1.0,rooftop,20.0,Junior Ter,San Francisco,CA,San Francisco County,94112.0
839,Cool Modern 2 Bed Glen Park Loft - Furnished & pkg - walk to BART!,3995,2,,1300.0,"(37.736388, -122.428977)",0,0,0,0,0,1,1,0,0,0,0,0,37.736388,-122.428977,1.0,nearest_street,200.0,Mateo St,San Francisco,CA,San Francisco County,94131.0
840,"獨2房PRIVATE 2 ROOMS $994 EACH next to SFSU, CCSF & BART",1988,2,1.0,,"(37.7441, -122.4863)",0,0,0,0,0,0,0,0,0,0,1,0,37.7441,-122.4863,1.0,rooftop,2310.0,29th Ave,San Francisco,CA,San Francisco County,94116.0
841,"獨2房,PRIVATE 3 ROOMS $ 1129 EACH,NEXT TO SFSU, CCSF & BART",3388,3,2.0,,"(37.7593, -122.4836)",0,0,0,0,0,0,0,0,0,0,1,0,37.7593,-122.4836,1.0,rooftop,2115.0,Kirkham St,San Francisco,CA,San Francisco County,94122.0
842,New Listing! Must see!  Call all for appt.!,3350,2,1.0,,"(37.792252, -122.407513)",0,0,0,0,0,1,0,0,0,0,1,0,37.792252000000005,-122.407513,1.0,nearest_street,781.0,California St,San Francisco,CA,San Francisco County,94108.0
843,"3BD, 2BA - Great Location, Ocean and Golden Gate Park views.",3900,3,2.0,1650.0,"(37.775471, -122.502671)",0,0,0,0,0,0,1,0,0,0,1,0,37.775471,-122.50267099999999,1.0,nearest_street,4100.0,Balboa St,San Francisco,CA,San Francisco County,94121.0
844,"獨2房PRIVATE 2 ROOMS,$944 EACH,NEXT TO SFSU, CCSF & BART",1888,2,1.0,,"(37.7593, -122.4836)",0,0,0,0,0,0,0,0,0,0,1,0,37.7593,-122.4836,1.0,rooftop,2115.0,Kirkham St,San Francisco,CA,San Francisco County,94122.0
846,Lovely two-bedroom apartment in a great location in San Francisco,4695,2,2.0,905.0,"(37.756249, -122.419942)",1,1,0,1,0,0,0,0,0,0,0,0,37.756249,-122.41994199999999,1.0,rooftop,39.0,Bartlett St,San Francisco,CA,San Francisco County,94110.0
847,"2/1 Split Level, Private Garden, Amazing Location",5900,2,1.0,,"(37.795016, -122.436761)",0,1,0,1,0,0,0,0,0,0,1,0,37.795016,-122.436761,1.0,nearest_street,2800.0,Steiner St,San Francisco,CA,San Francisco County,94123.0
848,Beautiful Apartment in Victorian Building unfurnished,5700,3,1.0,1600.0,"(37.774305, -122.427174)",0,0,0,0,1,0,0,0,0,0,0,0,37.774305,-122.427174,1.0,rooftop,483.0,Oak St,San Francisco,CA,San Francisco County,94102.0
849,"Brand New Luxurious 2br, corner unit, stainless steel, granite counter",3200,2,1.0,,"(37.773554, -122.503609)",1,1,0,0,1,0,0,0,0,0,1,0,37.773554,-122.50360900000001,1.0,nearest_street,800.0,43rd Ave,San Francisco,CA,San Francisco County,94121.0
850,"Open House Saturday Marina 2 BR, 1 BA",3200,2,1.0,,"(37.8031, -122.425759)",0,0,0,0,0,0,0,0,0,0,1,0,37.8031,-122.42575900000001,1.0,rooftop,1261.0,Francisco St,San Francisco,CA,San Francisco County,94123.0
851,**Spacious 2bd/2bath Open House  Sat & Sun**,3925,2,2.0,1000.0,"(37.787035, -122.456039)",1,1,0,0,1,0,0,0,0,0,0,0,37.787034999999996,-122.45603899999999,1.0,rooftop,3848.0,Sacramento St,San Francisco,CA,San Francisco County,94118.0
852,Sunny 2 or 1 bd apt Open house Sun from 11:00- 11:15 am**,3200,2,1.0,,"(37.749711, -122.406997)",1,1,0,0,0,0,1,0,0,0,0,0,37.749711,-122.406997,1.0,rooftop,2810.0,26th St,San Francisco,CA,San Francisco County,94110.0
853,!!!BRIGHT AND SPACIOUS CONDO!!!,3650,2,2.0,961.0,"(37.730624, -122.368035)",0,0,0,1,0,0,1,0,0,0,0,0,37.730624,-122.368035,0.99,rooftop,578.0,Hudson Ave,San Francisco,CA,San Francisco County,94124.0
854,New remodeled spacious in-law unit 2 bedrooms / 1 bath 730 ft,2300,2,1.0,,"(37.729838, -122.400274)",0,0,0,1,0,0,0,0,0,0,1,0,37.729838,-122.400274,1.0,nearest_street,2500.0,Phelps St,San Francisco,CA,San Francisco County,94124.0
855,2-BR 1 BA Apartment in SF Merced Heights,2700,2,1.0,,"(37.71964, -122.471652)",0,0,0,0,0,1,0,0,0,0,1,0,37.719640000000005,-122.471652,1.0,nearest_street,1000.0,Garfield St,San Francisco,CA,San Francisco County,94132.0
856,New 2-Story Townhomes w/City Views! Free Cable/WiFi MI Special!,5850,2,2.5,1315.0,"(37.773547, -122.409718)",1,1,0,1,0,0,0,1,0,0,1,0,37.773547,-122.409718,1.0,rooftop,350.0,8th St,San Francisco,CA,San Francisco County,94103.0
857,High-Floor CORNER View 2 bedroom/2bath with parking at RITZ Residences,7000,2,2.0,1257.0,"(37.791017, -122.399149)",0,0,0,1,0,0,1,0,0,0,0,0,37.791017,-122.399149,1.0,nearest_street,501.0,Market St,San Francisco,CA,San Francisco County,94105.0
858,"Beautiful 3 Bed/3 Bath in brand new building, blocks away from Fidi",6100,3,3.0,1600.0,"(37.78742, -122.393124)",0,0,0,0,0,1,1,0,0,0,0,0,37.787420000000004,-122.393124,1.0,rooftop,338.0,Fremont St,San Francisco,CA,San Francisco County,94105.0
860,"Sunny Top Floor 2BR/2BA (Utilities included), avail Nov 1",4850,2,2.0,1250.0,"(37.735307, -122.423422)",1,1,0,1,0,0,1,0,0,1,1,0,37.735307,-122.423422,1.0,rooftop,67.0,Crescent Ave,San Francisco,CA,San Francisco County,94110.0
