,lat.,long.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
821,37.773854,-122.477838,37.773817,-122.478162,1,rooftop,747,"19th Ave","San Francisco",CA,"San Francisco County",94121,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
822,37.804917,-122.442132,37.805002,-122.441897,1,rooftop,3824,"Scott St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
823,37.802411,-122.44334,37.802482,-122.443049,1,rooftop,3544,"Divisadero St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
824,37.779753,-122.482657,37.779767,-122.482827,1,rooftop,415,"23rd Ave","San Francisco",CA,"San Francisco County",94121,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
825,37.7864,-122.3892,37.786237,-122.389066,1,rooftop,501,"Beale St","San Francisco",CA,"San Francisco County",94105,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
826,37.77836,-122.48031,37.77836,-122.48031,1,nearest_street,500,"21st Ave","San Francisco",CA,"San Francisco County",94121,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
827,37.763087,-122.398519,37.763071,-122.398351,1,rooftop,251,"Arkansas St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
828,37.755889,-122.389058,37.755928,-122.388603,1,rooftop,2688,"3rd St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
830,37.7856,-122.4358,37.785606,-122.435866,1,rooftop,2161,"Sutter St","San Francisco",CA,"San Francisco County",94115,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
832,37.786106,-122.393908,37.786066,-122.394142,1,rooftop,50,"Lansing St","San Francisco",CA,"San Francisco County",94105,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
834,37.797287,-122.415291,37.797287,-122.415291,1,nearest_street,1,"Glover St","San Francisco",CA,"San Francisco County",94109,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
